,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
stop1,0,0,0,0,0,0,0,0,0,2.000160007,0,1.500080005,0.999999993,1.999999996,2.000000007,2.000159996,2.000159996,2.000000007,2.000159996,2.000159996,2.000159996,2.000159996,2.000159996,2.000080001,2.000159996,2.000159996,2.000159996,2.000000007,2.000159996,2.000159996,2.000159996,2.000159996,2.000159996,2.000159996,2.000159996,2.000159996,2.000159996,2.000000007,2.000159996,2.000159996,2.000159996,2.000000007,2.000159996,2.000159996,2.000159996,2.000159996,2.000159996,0
stop2,0,0,0,0,0,0,0,0,0,2.000159996,0,2.000159996,1.000000003,1.999999996,1.999999996,2.000000001,2.000000007,1.999999996,1.999999996,1.999999996,1.999999996,1.999999996,1.999999996,1.999999996,1.999999996,1.999999996,1.999999996,1.999999996,1.999999996,1.5,1.999999996,1.999999996,1.999999996,1.999999996,1.999999996,1.999999996,1.999999996,1.999999996,1.999999996,1.999999996,1.999999996,1.999999996,1.999999996,1.999999996,1.999999996,1.000000003,1.000000003,0
stop3,0,0,0,0,0,0,0,0,0,2.000160007,0,2.000159996,1.000000003,1.000000003,1.999999996,1.999999996,1.999999996,1.999999996,1.5,1.999999996,1.000000003,1.5,1.999840006,1.999999996,1.999840006,1.999999996,1.000000003,1.000000003,1.000000003,1.000000003,1.999999996,1.000000003,1.000000003,1.5,1.999999996,2.000000001,2.000000007,1.999840006,1.999999996,1.000000003,1.999999996,1.999839996,1.999999996,1.000000003,1.000000003,2.000000007,1.000000003,1.000000003
stop4,0,0,0,0,0,0,0,0,0,2.000159996,0,0,2.000159996,2.000000007,2.000000007,2.999999999,2.000160001,2.999999999,2.000159996,2.000160001,2.999999999,2.500079998,2.999999999,2.000000007,2.999999999,2.999999999,2.000000001,2.999999999,2.999999999,2.999999999,2.999999999,2.999999999,2.999999999,2.999999999,2.999999999,2.999999999,3.499999996,2.999999999,2.999999999,2.999999999,2.000080001,2.000080001,2.999999999,2.500079998,2.999999999,1.999999996,1.999999996,2.000000007
stop5,0,0,0,0,0,0,0,0,0,2.000159996,0,0,1.999840006,1.999999996,1.999999996,1.999999996,2.000000007,2.000000007,1.999999996,1.999999996,1.999999996,2.000000007,1.999920001,2.000000007,2.000000007,1.999840006,1.999840006,1.999999996,2.999839999,2.000000007,2.99984001,2.999839999,2.999839999,2.499999998,2.499920003,2.999839999,1.999999996,2.999999999,1.999999996,2.000000007,1.999999996,1.999840006,1.999999996,1.999920001,1.999920001,1.000000003,1.999840006,1
stop6,0,0,0,0,0,0,0,0,0,2.000160007,0,0,2.000159996,2.000000007,2.999999999,2.999999999,2.000159996,2.000159996,2.999999999,2.000160007,2.999999999,2.000159996,2.000159996,2.000159996,2.000159996,2.000159996,2.000159996,2.000159996,2.000159996,2.000159996,2.000159996,2.000159996,2.000159996,2.000159996,2.000159996,2.000159996,2.500079998,2.500080003,2.000159996,2.000159996,2.000159996,2.000159996,2.000159996,2.000159996,2.000159996,2.000159996,2.000159996,2.000159996
stop7,0,0,0,0,0,0,0,0,0,2.000159996,2.000159996,0,2.000000007,2.000000007,2.999999999,2.999999999,2.999999999,2.000000007,2.000000007,2.000159996,2.000000007,2.999999999,2.999999999,2.999999999,2.999999999,2.999999999,2.999999999,2.500000003,2.999999999,2.999999999,2.999999999,2.999999999,2.999999999,2.999999999,3.999999992,5.999999999,6.000000009,5.000000006,2.999999999,2.000080001,2.000000007,2.999999999,2.999999999,2.999999999,2.999999999,2.999999999,2.000000001,2.999999999
stop8,0,0,0,0,0,0,0,0,0,2.000159996,2.000159996,0,4.000000003,3.999999992,5.000000006,5.999999999,5.999999999,4.999999995,4.999999995,4.999999995,4.999999995,4.000000003,4.999999995,4.999999995,5.000000001,4.999999995,5.000000006,4.999999995,4.999999995,5.000000006,4.999999995,5.000000001,4.999999995,5.000000006,5.000000006,5.999999999,5.999999999,5.999999999,5.000000006,4.999999995,5.000000006,4.999999995,4.999999995,4.999999995,4.999999995,4.000000003,4.000000003,4.000000003
stop9,0,0,0,0,0,0,0,0,0,2.000160007,2.000160007,0,0.999999993,1.000000003,1.000000003,1.999999996,1.999999996,1.5,1.000000003,1.000000003,1.000000003,1.000000003,1.000000003,1.000000003,1.999999996,1.000000003,1.000000003,1.000000003,1.000000003,1.000000003,1.000000003,1.000000003,1.000000003,1.999920001,1.000000003,1.000000003,1.000000003,1.000000003,1.000000003,1.000000003,1.000000003,1.000000003,1.000000003,1.000000003,1.000000003,1.000000003,1.000000003,1.000000003
stop10,0,0,0,0,0,0,0,0,0,2.000159996,2.000159996,0,1.000000003,1.999999996,1.999999996,1.999999996,1.999999996,1.5,1.999999996,1.999999996,1.999999996,1.999999996,1.999999996,1.999999996,1.999999996,1.999999996,1.000000003,1.999999996,1.5,2.000000001,1.999999996,1.5,1.999999996,1.999999996,1.999999996,1.999999996,1.999999996,1.999999996,1.999999996,1.000000003,1.000000003,1.999999996,1.999999996,1.999999996,1.999999996,1.999999996,1.000000003,1.000000003
